transaction_id,customer_id,amount,transaction_time,merchant_type,is_fraud,age,gender,income,account_balance,transaction_frequency,customer_segment,atm_id,atm_location,cash_withdrawal_amount,loan_id,loan_amount,credit_score,loan_status,news_headline,sentiment_score,stock_ticker
24,3391,31242.95,1/1/2025 0:23,Food,0,71,Female,135056,175061.91,56,New,15,Delhi,28248.19,5024,1288255,630,Paid,Tech stocks rally on innovation,-0.07,INFY
25,2515,3598.07,1/1/2025 0:24,Food,0,50,Male,90696,485856.03,78,New,26,Bengaluru,26242.94,5025,2103497,490,Paid,Rupee weakens against Dollar,0.87,RELIANCE
26,4485,34134.03,1/1/2025 0:25,Travel,0,23,Other,115750,459928.84,94,New,45,Kolkata,28978.06,5026,273136,833,Default,Tech stocks rally on innovation,-0.74,INFY
27,3853,12104.16,1/1/2025 0:26,Retail,0,56,Male,73926,100721.97,47,High Value,2,Hyderabad,43770.2,5027,1645544,665,Paid,Tech stocks rally on innovation,-0.08,WIPRO
28,3433,35700.49,1/1/2025 0:27,Food,0,64,Female,88137,362948.43,48,Medium,17,Hyderabad,12253.03,5028,267470,793,Default,Corporate layoffs rise across tech firms,-0.31,ICICIBANK
29,2215,41128.51,1/1/2025 0:28,Bill,0,35,Other,84053,289718.92,10,Medium,1,Bengaluru,25597.27,5029,549164,845,Paid,Oil prices surge on global conflict,0.73,INFY
30,1955,40199.89,1/1/2025 0:29,Fuel,0,26,Male,85338,25396.4,32,New,30,Delhi,13621.06,5030,1117514,548,Paid,Global markets fall due to uncertainty,0.61,TCS
31,3324,27629.52,1/1/2025 0:30,Retail,0,25,Male,125694,186166.95,65,Low,32,Chennai,39050.76,5031,278943,336,Paid,Company faces regulatory issues,0.1,TCS
32,2184,26013.29,1/1/2025 0:31,Retail,0,42,Male,99295,243293.83,24,Medium,30,Kolkata,38878.05,5032,760603,596,Paid,Tech stocks rally on innovation,-0.17,WIPRO
33,1459,7152.37,1/1/2025 0:32,Retail,0,48,Other,152816,333953.27,29,Medium,42,Kolkata,47875.74,5033,201824,764,In Progress,Global markets fall due to uncertainty,0.37,INFY
34,4385,38769.55,1/1/2025 0:33,Food,0,59,Male,103309,147805.11,7,Medium,4,Chennai,22396.42,5034,1155913,520,Default,Global markets fall due to uncertainty,0.91,ICICIBANK
35,1021,13577.75,1/1/2025 0:34,Retail,0,21,Male,128721,466942.41,95,High Value,42,Kolkata,8016.69,5035,1902518,785,Paid,Company faces regulatory issues,-0.8,ICICIBANK
36,3300,24839.8,1/1/2025 0:35,Travel,0,37,Female,65123,226213.59,17,Medium,44,Mumbai,44830.9,5036,2245692,698,Paid,Market rises amid strong earnings,0.8,RELIANCE
37,1747,14220.86,1/1/2025 0:36,Retail,0,45,Male,128732,124640.55,94,New,32,Bengaluru,44541.07,5037,1449952,832,Paid,Global markets fall due to uncertainty,-0.41,TCS
38,3904,6700.08,1/1/2025 0:37,Bill,0,57,Other,87672,158555.83,25,Medium,35,Kolkata,11810.01,5038,1658681,351,In Progress,Banking sector sees strong growth,-0.99,INFY
39,4632,31481.59,1/1/2025 0:38,Online,0,18,Female,188357,376066.77,92,New,1,Bengaluru,13885.86,5039,612765,730,Paid,Corporate layoffs rise across tech firms,0.48,RELIANCE
40,1474,2726.06,1/1/2025 0:39,Bill,0,57,Other,67238,320322.54,36,Low,19,Delhi,15739.36,5040,862944,507,In Progress,Global markets fall due to uncertainty,0.58,HDFCBANK
41,2082,37434.78,1/1/2025 0:40,Food,0,72,Female,28417,371217.92,61,High Value,33,Delhi,22642.33,5041,1795999,718,Default,Market rises amid strong earnings,-0.39,RELIANCE
42,3558,15886.16,1/1/2025 0:41,Retail,0,61,Female,105841,146524.74,71,Low,19,Chennai,41469.25,5042,1309588,759,Paid,Market rises amid strong earnings,0.56,WIPRO
43,4753,16.73,1/1/2025 0:42,Retail,0,40,Male,191201,163760.88,35,Medium,36,Delhi,7304.06,5043,785473,818,Paid,Oil prices surge on global conflict,0.6,SBIN
44,3047,25561.35,1/1/2025 0:43,Travel,0,74,Other,52719,198661.2,84,Low,27,Mumbai,35049.51,5044,2397754,468,Paid,Banking sector sees strong growth,0.35,WIPRO
45,4547,2352.13,1/1/2025 0:44,Fuel,0,64,Male,19002,94702.2,78,Medium,13,Delhi,17704.73,5045,2213945,439,Paid,Tech stocks rally on innovation,-0.92,HDFCBANK
46,3747,13815.72,1/1/2025 0:45,Retail,0,30,Female,148404,345676.75,50,New,27,Bengaluru,9863.59,5046,479748,646,Paid,Corporate layoffs rise across tech firms,0.33,WIPRO
47,1975,35351.75,1/1/2025 0:46,Medical,0,33,Male,41149,165010.08,56,Medium,46,Hyderabad,16988.08,5047,1200740,357,Paid,Global markets fall due to uncertainty,0.86,WIPRO
48,2806,3143.85,1/1/2025 0:47,Bill,0,43,Female,109994,163454.99,94,High Value,14,Hyderabad,26710.47,5048,742757,748,Paid,Company faces regulatory issues,0.24,HDFCBANK
49,1189,41968.53,1/1/2025 0:48,Food,0,72,Female,113989,135047.8,65,Low,24,Bengaluru,46078.56,5049,393269,484,Paid,Oil prices surge on global conflict,-0.27,RELIANCE
50,4005,200.96,1/1/2025 0:49,Online,0,48,Other,100808,226687.49,41,Medium,35,Hyderabad,31450.6,5050,394393,477,Paid,Company faces regulatory issues,0.13,TCS
51,3734,12348.73,1/1/2025 0:50,Retail,0,67,Other,73923,386102.05,25,New,19,Kolkata,30393.35,5051,771887,786,In Progress,Corporate layoffs rise across tech firms,0.99,RELIANCE
52,4005,37047.79,1/1/2025 0:51,Online,0,18,Other,32352,417886.55,34,Low,25,Hyderabad,5526.18,5052,841808,764,Paid,Banking sector sees strong growth,-0.05,RELIANCE
53,1562,15820.34,1/1/2025 0:52,Retail,0,34,Other,76081,402351.68,8,High Value,11,Mumbai,4082.07,5053,1779087,426,Default,Corporate layoffs rise across tech firms,0.68,SBIN
54,2899,5103.6,1/1/2025 0:53,Food,0,33,Male,36645,310786.19,56,Medium,9,Delhi,6560.23,5054,2227482,344,Default,Corporate layoffs rise across tech firms,-0.72,TCS
55,4638,18018.09,1/1/2025 0:54,Fuel,0,72,Other,40343,140573.55,84,High Value,6,Hyderabad,4867.73,5055,2774493,489,Paid,Market rises amid strong earnings,-0.89,TCS
56,2267,13526.96,1/1/2025 0:55,Bill,0,54,Other,15645,367560.18,30,New,36,Hyderabad,28860.59,5056,1762951,661,Default,Tech stocks rally on innovation,-0.22,SBIN
57,3879,42137.17,1/1/2025 0:56,Food,0,69,Other,46775,20161.29,68,Low,37,Chennai,22685.5,5057,183804,665,Paid,Global markets fall due to uncertainty,-0.72,TCS
58,2528,15674.26,1/1/2025 0:57,Online,0,70,Female,19121,399177.13,21,Low,29,Mumbai,349.11,5058,2616849,492,Paid,Rupee weakens against Dollar,-0.34,WIPRO
59,4202,39448.73,1/1/2025 0:58,Retail,0,27,Female,78742,390223.67,91,Low,9,Chennai,17618.23,5059,1872482,866,Paid,Global markets fall due to uncertainty,0.43,TCS
60,4556,44594.69,1/1/2025 0:59,Online,0,55,Other,24271,335165.56,10,New,33,Mumbai,6455.47,5060,195654,593,Paid,Rupee weakens against Dollar,-0.11,SBIN
61,4890,21696.53,1/1/2025 1:00,Bill,0,61,Female,185276,49413.76,87,Medium,23,Hyderabad,49407.16,5061,89057,826,Paid,Global markets fall due to uncertainty,-0.36,TCS
62,1646,45498.06,1/1/2025 1:01,Medical,0,48,Female,171284,498672,33,Medium,15,Kolkata,23061.86,5062,892509,448,Default,Company faces regulatory issues,0.78,WIPRO
63,3068,18872.13,1/1/2025 1:02,Food,0,27,Male,125821,378326.39,75,Medium,11,Hyderabad,21363.72,5063,1204732,448,In Progress,Tech stocks rally on innovation,-0.98,SBIN
64,3888,48204.28,1/1/2025 1:03,Online,0,71,Female,90828,367536.01,83,High Value,23,Kolkata,32244.3,5064,2729483,550,Paid,Banking sector sees strong growth,0.63,TCS
65,3214,4473.58,1/1/2025 1:04,Online,0,66,Male,169553,32471.92,75,New,26,Chennai,17918.97,5065,692507,734,Paid,Company faces regulatory issues,0.24,RELIANCE
66,2297,34354.09,1/1/2025 1:05,Bill,0,51,Female,110011,199653.21,4,Low,1,Delhi,35804.18,5066,2991835,513,Paid,Market rises amid strong earnings,-0.91,WIPRO
67,3435,24695.76,1/1/2025 1:06,Medical,0,68,Other,53682,43543.41,23,New,30,Bengaluru,45249.21,5067,1344956,334,Paid,Tech stocks rally on innovation,-0.93,SBIN
68,1600,19388.56,1/1/2025 1:07,Retail,0,69,Female,88749,180837.98,69,New,17,Delhi,24994.97,5068,2645750,680,Paid,Oil prices surge on global conflict,-0.66,INFY
69,3363,31639.27,1/1/2025 1:08,Medical,0,23,Female,79747,285457.53,53,New,47,Hyderabad,19207.86,5069,880064,526,In Progress,Market rises amid strong earnings,0.95,WIPRO
70,3061,35195.82,1/1/2025 1:09,Online,0,45,Male,16903,439496.66,5,Low,46,Hyderabad,26142.65,5070,1453885,519,Paid,Global markets fall due to uncertainty,-0.83,INFY
71,1241,228.12,1/1/2025 1:10,Bill,0,45,Other,181416,141827.4,18,Low,41,Kolkata,30217.28,5071,2797737,439,Paid,Oil prices surge on global conflict,0.48,INFY
72,3041,8355.98,1/1/2025 1:11,Retail,0,30,Male,117413,311895.62,17,High Value,23,Mumbai,42400.36,5072,2442832,865,Paid,Rupee weakens against Dollar,-0.2,RELIANCE
73,3824,35655.17,1/1/2025 1:12,Medical,0,58,Other,101534,82743.64,58,New,36,Chennai,19784.52,5073,2844583,564,In Progress,Company faces regulatory issues,-0.53,TCS
74,4417,33322.61,1/1/2025 1:13,Medical,0,29,Other,137702,177304.95,67,Medium,41,Chennai,2666.43,5074,2986981,635,Paid,Tech stocks rally on innovation,0.15,HDFCBANK
75,3612,48302.71,1/1/2025 1:14,Medical,0,67,Male,33319,473645.12,72,High Value,5,Chennai,31573.62,5075,2816488,856,In Progress,Oil prices surge on global conflict,-0.26,TCS
76,3945,38054.28,1/1/2025 1:15,Fuel,0,57,Female,113919,373946.64,56,Low,35,Kolkata,49345.22,5076,2140680,578,Paid,Corporate layoffs rise across tech firms,-0.38,ICICIBANK
77,2363,47539.13,1/1/2025 1:16,Retail,0,74,Other,167513,273129.98,40,Low,9,Mumbai,42726.41,5077,141646,631,In Progress,Company faces regulatory issues,-0.52,TCS
78,3139,35130,1/1/2025 1:17,Medical,0,67,Female,91178,126222.55,87,High Value,4,Mumbai,37936.97,5078,2664006,494,Paid,Tech stocks rally on innovation,-0.08,WIPRO
79,2390,14909.63,1/1/2025 1:18,Fuel,0,74,Male,170934,190162.76,87,Medium,7,Mumbai,8907.45,5079,2654435,342,Paid,Global markets fall due to uncertainty,-0.66,SBIN
80,4003,5277.19,1/1/2025 1:19,Food,0,72,Male,177175,78768.32,2,New,1,Mumbai,37456.1,5080,1282826,557,Paid,Tech stocks rally on innovation,0.7,WIPRO
81,2478,39093.37,1/1/2025 1:20,Bill,0,74,Male,157582,177056.86,21,New,16,Hyderabad,4165.68,5081,1967632,741,In Progress,Global markets fall due to uncertainty,0.18,SBIN
82,4499,32211.02,1/1/2025 1:21,Medical,0,71,Male,180763,75741.1,52,Medium,25,Bengaluru,24746.51,5082,2129058,595,Paid,Company faces regulatory issues,-0.87,WIPRO
83,3556,2418.82,1/1/2025 1:22,Retail,0,19,Other,86991,397755.86,24,New,6,Chennai,18607.9,5083,1129438,736,Paid,Company faces regulatory issues,-0.09,INFY
84,1775,18008.92,1/1/2025 1:23,Fuel,0,25,Male,186444,40839.17,53,Low,38,Bengaluru,45273.79,5084,689539,697,Paid,Oil prices surge on global conflict,0.26,TCS
85,1034,47840.42,1/1/2025 1:24,Fuel,0,59,Female,83309,95108.04,38,High Value,14,Delhi,8075.8,5085,785803,424,Paid,Company faces regulatory issues,0.72,TCS
86,3253,25025.05,1/1/2025 1:25,Food,0,26,Female,189122,345737.78,20,Medium,37,Delhi,39465.36,5086,1647557,796,Paid,Global markets fall due to uncertainty,-0.95,SBIN
87,4152,21642.13,1/1/2025 1:26,Travel,0,73,Other,42377,451307.1,50,High Value,11,Delhi,2520.74,5087,2720621,663,Paid,Market rises amid strong earnings,-0.09,ICICIBANK
88,2955,22890.4,1/1/2025 1:27,Bill,0,67,Male,73336,482313.51,39,New,1,Kolkata,35117.56,5088,2201358,446,Paid,Market rises amid strong earnings,0.41,WIPRO
89,2585,10452.05,1/1/2025 1:28,Travel,0,25,Other,90312,418093.45,60,New,42,Delhi,14759.53,5089,2631067,759,Default,Tech stocks rally on innovation,-0.61,HDFCBANK
90,4943,18441.67,1/1/2025 1:29,Retail,0,68,Other,109941,106130.15,91,Low,1,Chennai,48798.08,5090,2252316,470,Paid,Company faces regulatory issues,-0.56,HDFCBANK
91,4459,18496.96,1/1/2025 1:30,Bill,0,20,Other,74229,143212.79,39,Low,36,Delhi,33620,5091,2555150,609,Paid,Oil prices surge on global conflict,-0.02,INFY
92,4073,2627.23,1/1/2025 1:31,Food,0,26,Male,80679,435440.8,71,New,8,Delhi,15514.38,5092,2904628,651,Paid,Market rises amid strong earnings,0.77,SBIN
93,2021,38380.71,1/1/2025 1:32,Retail,0,30,Female,40698,444721.82,33,New,32,Hyderabad,11852.5,5093,708869,647,Paid,Banking sector sees strong growth,-0.2,HDFCBANK
94,4461,20831.06,1/1/2025 1:33,Bill,0,26,Female,163155,320506.26,29,Low,33,Delhi,32001.51,5094,483136,650,Default,Company faces regulatory issues,-0.03,INFY
95,3613,41110.77,1/1/2025 1:34,Bill,0,48,Other,60169,157163.73,74,Low,8,Bengaluru,13709.25,5095,51108,872,Paid,Oil prices surge on global conflict,0.27,RELIANCE
96,2129,42518.9,1/1/2025 1:35,Travel,0,42,Other,168774,112416.3,10,Medium,14,Hyderabad,9421.59,5096,2022066,440,Paid,Banking sector sees strong growth,-0.38,WIPRO
97,4843,10607.58,1/1/2025 1:36,Retail,0,69,Female,113574,426215.21,76,Low,24,Mumbai,32418.72,5097,275138,469,Paid,Rupee weakens against Dollar,0.73,ICICIBANK
98,4893,32871.1,1/1/2025 1:37,Food,0,61,Female,56022,103024.87,67,Medium,49,Kolkata,36241.92,5098,2953877,524,In Progress,Oil prices surge on global conflict,0.92,TCS
99,2500,23619.37,1/1/2025 1:38,Food,0,72,Male,81543,331071.27,3,Medium,41,Hyderabad,11977.61,5099,2640640,520,In Progress,Market rises amid strong earnings,0.3,ICICIBANK
100,1702,44009.04,1/1/2025 1:39,Retail,0,62,Other,107955,483992.69,77,High Value,29,Hyderabad,26840.04,5100,2085588,664,Paid,Global markets fall due to uncertainty,0.28,HDFCBANK
101,3449,10794.88,1/1/2025 1:40,Retail,0,25,Male,123768,352793.05,31,Low,25,Bengaluru,33215.11,5101,2300356,412,Paid,Banking sector sees strong growth,0.35,SBIN
102,3777,33893.88,1/1/2025 1:41,Fuel,0,64,Female,111416,129206.32,27,Medium,6,Chennai,47101.64,5102,1313428,548,Default,Oil prices surge on global conflict,-0.61,WIPRO
103,2579,30391.53,1/1/2025 1:42,Online,0,48,Female,153275,141611.7,70,High Value,1,Chennai,40191.32,5103,168290,769,Paid,Corporate layoffs rise across tech firms,0.46,WIPRO
104,1161,14772.12,1/1/2025 1:43,Travel,0,62,Female,51492,46900.94,27,High Value,23,Delhi,21098.66,5104,1206714,748,Paid,Banking sector sees strong growth,-0.31,WIPRO
105,1201,6838.68,1/1/2025 1:44,Retail,0,70,Female,109525,343275.63,99,Low,41,Mumbai,42235.93,5105,267504,347,Default,Corporate layoffs rise across tech firms,0.99,TCS
106,2981,32585.47,1/1/2025 1:45,Retail,0,62,Male,125230,259458.62,9,Low,33,Bengaluru,22140.53,5106,1891465,650,Paid,Corporate layoffs rise across tech firms,0.5,ICICIBANK
107,1995,36932.49,1/1/2025 1:46,Online,0,48,Female,103519,103632.61,6,High Value,14,Bengaluru,6593.32,5107,967072,383,Paid,Company faces regulatory issues,0.17,ICICIBANK
108,3317,15788.21,1/1/2025 1:47,Online,0,34,Other,73636,114220.32,6,Medium,28,Hyderabad,17120.91,5108,431834,898,Paid,Rupee weakens against Dollar,0.82,WIPRO
109,4934,32245.18,1/1/2025 1:48,Bill,0,64,Female,70639,5007.77,26,Low,29,Mumbai,40255.73,5109,2095699,472,Paid,Tech stocks rally on innovation,0.94,SBIN
110,1815,19762.59,1/1/2025 1:49,Medical,0,74,Other,55685,489220.49,43,High Value,43,Bengaluru,47794.66,5110,659081,444,Default,Global markets fall due to uncertainty,0.64,SBIN
111,4342,35663.21,1/1/2025 1:50,Food,0,71,Female,30739,414095.08,19,High Value,40,Chennai,49180.83,5111,2496302,750,Paid,Company faces regulatory issues,0.51,INFY
112,1455,9968.77,1/1/2025 1:51,Travel,0,36,Male,175989,197387.89,16,Medium,23,Kolkata,31990.84,5112,1316584,844,Paid,Oil prices surge on global conflict,-0.88,SBIN
113,4533,44511.85,1/1/2025 1:52,Bill,0,20,Other,35704,473071.88,23,New,44,Kolkata,23969.26,5113,2415527,620,Default,Company faces regulatory issues,0.41,SBIN
114,4798,14377.61,1/1/2025 1:53,Retail,0,63,Male,110688,338721.41,75,Medium,38,Bengaluru,8186.65,5114,1434506,447,Paid,Rupee weakens against Dollar,-0.33,SBIN
115,2275,18395.62,1/1/2025 1:54,Online,0,47,Female,62383,375855.54,80,High Value,49,Hyderabad,5215.96,5115,1075401,425,Default,Market rises amid strong earnings,0.86,WIPRO
116,2016,2914.02,1/1/2025 1:55,Fuel,0,27,Male,39307,340137.77,29,Medium,43,Kolkata,25973.26,5116,1838362,765,In Progress,Tech stocks rally on innovation,0.22,RELIANCE
117,4773,5584.5,1/1/2025 1:56,Food,0,66,Female,19716,378545.99,38,Low,10,Hyderabad,36416.18,5117,720897,428,Paid,Oil prices surge on global conflict,-0.26,ICICIBANK
118,3343,25797.94,1/1/2025 1:57,Bill,0,46,Male,115924,85883.99,59,High Value,27,Delhi,16263.71,5118,750352,374,Paid,Tech stocks rally on innovation,-0.32,SBIN
119,4796,13386.96,1/1/2025 1:58,Fuel,0,57,Male,164992,281417.8,48,Medium,8,Delhi,33766.37,5119,626195,785,Default,Global markets fall due to uncertainty,0.11,TCS
120,3767,41775.66,1/1/2025 1:59,Food,1,35,Other,183943,424763.45,20,Medium,44,Hyderabad,28583.44,5120,864363,515,Paid,Global markets fall due to uncertainty,-0.02,RELIANCE
121,4820,744.52,1/1/2025 2:00,Medical,0,29,Female,57928,10261.52,21,Medium,4,Bengaluru,47043.37,5121,903561,536,Paid,Tech stocks rally on innovation,-0.22,RELIANCE
122,1337,18960.91,1/1/2025 2:01,Medical,0,66,Male,28587,62159.76,28,Medium,21,Delhi,10556.89,5122,1878085,395,In Progress,Banking sector sees strong growth,-0.58,WIPRO
123,1878,16873.9,1/1/2025 2:02,Fuel,0,40,Female,16195,123197.08,50,High Value,21,Chennai,29593.82,5123,726715,482,Paid,Oil prices surge on global conflict,0.59,SBIN
124,2076,976.19,1/1/2025 2:03,Online,0,28,Other,140711,147715.99,33,Medium,30,Delhi,20748.47,5124,2482554,494,Paid,Banking sector sees strong growth,-0.13,TCS
125,1791,6227.18,1/1/2025 2:04,Bill,0,26,Male,171155,91760.58,40,Low,13,Chennai,13152.62,5125,243819,549,In Progress,Corporate layoffs rise across tech firms,-0.8,RELIANCE
126,4993,20688,1/1/2025 2:05,Bill,0,71,Female,130982,312353.03,90,New,3,Kolkata,17928.89,5126,725956,746,Paid,Company faces regulatory issues,-0.83,HDFCBANK
127,3264,24648.3,1/1/2025 2:06,Medical,0,73,Male,168510,147362.53,54,New,20,Bengaluru,14797.29,5127,2036179,371,Paid,Oil prices surge on global conflict,-0.52,WIPRO
128,1763,20220.44,1/1/2025 2:07,Food,0,41,Male,35009,79470.87,10,New,36,Hyderabad,26429.67,5128,2138934,351,In Progress,Tech stocks rally on innovation,0.1,RELIANCE
129,3235,26551.57,1/1/2025 2:08,Fuel,0,42,Male,121172,452960.18,34,Low,40,Delhi,27946.91,5129,1818860,795,Paid,Company faces regulatory issues,-0.7,INFY
130,1379,29760.63,1/1/2025 2:09,Online,0,72,Male,116123,347669.75,73,New,5,Bengaluru,43290.45,5130,1230692,454,Paid,Banking sector sees strong growth,-0.57,RELIANCE
131,1492,506.09,1/1/2025 2:10,Retail,0,42,Other,28696,123406.34,36,High Value,22,Delhi,39087.16,5131,2043339,619,Paid,Rupee weakens against Dollar,0,ICICIBANK
132,4112,23210.12,1/1/2025 2:11,Bill,0,64,Other,143733,180796.34,75,High Value,2,Kolkata,15195.51,5132,768071,600,Default,Rupee weakens against Dollar,-0.56,SBIN
133,2180,48175.33,1/1/2025 2:12,Retail,0,26,Female,22564,370522.39,74,Low,25,Bengaluru,46573.13,5133,1193766,494,Paid,Corporate layoffs rise across tech firms,0.72,RELIANCE
134,3062,25956.42,1/1/2025 2:13,Online,0,29,Female,18637,395559.58,7,Low,40,Mumbai,43430.8,5134,845884,325,Paid,Rupee weakens against Dollar,0.18,INFY
135,4884,33880.34,1/1/2025 2:14,Medical,0,28,Male,163862,88629.86,16,High Value,24,Kolkata,31330.56,5135,935549,526,Paid,Global markets fall due to uncertainty,-0.83,INFY
136,1064,15600.07,1/1/2025 2:15,Bill,0,66,Male,108695,468319.75,51,Low,5,Hyderabad,1029.56,5136,2049818,696,Paid,Corporate layoffs rise across tech firms,-0.72,SBIN
137,4928,38701.83,1/1/2025 2:16,Bill,1,55,Male,27568,392743.33,90,Low,16,Bengaluru,10535.92,5137,212272,508,Paid,Corporate layoffs rise across tech firms,-0.61,WIPRO
138,4910,38648.34,1/1/2025 2:17,Fuel,0,45,Other,108539,428478.81,96,High Value,15,Chennai,39487.03,5138,1247895,713,Paid,Oil prices surge on global conflict,0.26,WIPRO
139,3568,26069.59,1/1/2025 2:18,Retail,0,25,Male,85847,72357.47,61,High Value,13,Delhi,22742.66,5139,2178978,552,In Progress,Tech stocks rally on innovation,-0.79,RELIANCE
140,2367,48800.93,1/1/2025 2:19,Medical,0,27,Female,56596,72111.89,31,Medium,11,Chennai,6384.93,5140,172672,727,Paid,Market rises amid strong earnings,-0.91,HDFCBANK
141,2152,6286.26,1/1/2025 2:20,Fuel,0,42,Male,53315,153031.74,32,Medium,16,Bengaluru,20472.16,5141,2806616,564,In Progress,Corporate layoffs rise across tech firms,0.46,RELIANCE
142,3027,857.21,1/1/2025 2:21,Travel,1,64,Other,32191,32790.89,45,New,18,Hyderabad,10673.97,5142,1793514,475,Paid,Company faces regulatory issues,-0.04,TCS
143,3695,38510.21,1/1/2025 2:22,Retail,0,53,Male,132083,45988.13,76,Low,25,Chennai,44639.11,5143,2371132,651,Paid,Oil prices surge on global conflict,0.7,INFY
144,2495,40359.71,1/1/2025 2:23,Retail,0,67,Other,35908,72031.97,27,High Value,47,Chennai,44473.99,5144,934622,483,Default,Tech stocks rally on innovation,0.59,RELIANCE
145,4134,6019.16,1/1/2025 2:24,Travel,0,60,Other,147487,356358.65,22,New,38,Chennai,19414.4,5145,238844,623,Paid,Market rises amid strong earnings,-0.45,HDFCBANK
146,2162,13286.49,1/1/2025 2:25,Online,0,26,Other,55276,15600.03,15,Medium,40,Bengaluru,6955.94,5146,304983,798,Paid,Company faces regulatory issues,-0.62,WIPRO
